"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"207985","207985","Okegem Brabandersweg","50.855313","4.046596","https://www.delijn.be/nl/haltes/207985","0"
"256302","256302","Dendermonde Oude Vest vervanghalte","51.029576","4.106498","https://www.delijn.be/nl/haltes/256302","0"
"303559","303559","Diegem Kouterveld","50.882772","4.448295","https://www.delijn.be/nl/haltes/303559","0"
"303741","303741","Meise Private dreef","50.928381","4.336247","https://www.delijn.be/nl/haltes/303741","0"
"402195","402195","Genk Heizeisstraat","50.995300","5.507663","https://www.delijn.be/nl/haltes/402195","0"
"104244","104244","Essen Hoek","51.446332","4.412699","https://www.delijn.be/nl/haltes/104244","0"
"206402","206402","Wichelen Kerk","51.006329","3.975399","https://www.delijn.be/nl/haltes/206402","0"
"407297","407297","Overpelt Rijmenstraat","51.208213","5.415986","https://www.delijn.be/nl/haltes/407297","0"
"516302","516302","Oostende AZO Damiaan","51.218093","2.933063","https://www.delijn.be/nl/haltes/516302","1"
"200641","200641","Gent Schoolstraat","51.059171","3.749916","https://www.delijn.be/nl/haltes/200641","1"
"104328","104328","Kapellen Loopgravenpad","51.336341","4.438508","https://www.delijn.be/nl/haltes/104328","0"
"107034","107034","Bouwel Droomland","51.168832","4.723353","https://www.delijn.be/nl/haltes/107034","0"
"302871","302871","Ukkel Racing","50.792848","4.373971","https://www.delijn.be/nl/haltes/302871","0"
"303749","303749","Meise Van Dievoetlaan","50.940494","4.324870","https://www.delijn.be/nl/haltes/303749","0"
"304184","304184","Heverlee Kasteel Arenberg","50.860942","4.682238","https://www.delijn.be/nl/haltes/304184","0"
"410126","410126","Godsheide Golf","50.933662","5.380190","https://www.delijn.be/nl/haltes/410126","0"
"506417","506417","Wenduine Steenoven","51.294617","3.085389","https://www.delijn.be/nl/haltes/506417","1"
"103005","103005","Hoboken Meerlenhoflaan","51.172461","4.356072","https://www.delijn.be/nl/haltes/103005","0"
"103699","103699","Tilburg Viaduct A58","51.538580","5.063115","https://www.delijn.be/nl/haltes/103699","0"
"106630","106630","Ravels Molenzicht","51.375529","5.003994","https://www.delijn.be/nl/haltes/106630","0"
"310904","310904","Rosières Ferme Englebert","50.734715","4.535255","https://www.delijn.be/nl/haltes/310904","0"
"202665","202665","Kluizen Toekomststraat","51.154416","3.735098","https://www.delijn.be/nl/haltes/202665","0"
"206635","206635","Grembergen Gaverstraat","51.056663","4.106369","https://www.delijn.be/nl/haltes/206635","0"
